id;post_id;comment_id;comment_likes_count;comment_text
1;4705396;4705399;0;сша помогут
2;4705396;4705400;2;Да да, а еще от нее побочные эффекты, ломка спины и тп. Ровно как у плацебо, да?)
3;4705396;4705401;1;надо ее на НОВУЮ ЗЕМЛЮ отправить
4;4705396;4705402;0;Щас же зима, спокойно можно хранить и возить. Пофиг на мир
5;4705396;4705404;1;в баню сходил и збс
6;4705396;4705406;6;"Обычная морозилка справится) а вот файзер -70))) 
Да ещё и мрут от неё, 23 человека в Норвегии, 10 в Германии."
7;4705396;4705412;7;"Где то вчера по интернету видел как Путин заявил мол что у пфайзера проблемы как раз с перевозкой из за температуры, а у Спутника нет

Эх, не думал я что понадобица ссылка, так бы предоставил ведь тут такое заявление"
8;4705396;4705424;1;"западная вакцина, при -70
Вопрос: где гарантия при отсутствии должного опыта поддержание вакцины💉 в подобных условиях?😳
Напомню, в России🇷🇺 еще с времен СССР, опыт и практика вакцинации огромные"
9;4705396;4705431;1;Это прорыв или рывок, никак не дойдет до меня
10;4705396;4705434;0;От 2 до 8. От 8 до 15
11;4705396;4705436;1;
12;4705396;4705437;0;Вакцина от Пфайзер должна храниться при минус 70, если не ошибаюсь.
13;4705396;4705446;0;То ли дело файзер - всего лишь -70 градусов🤷‍♂️
14;4705396;4705474;0;Рашка💁‍♂️
15;4705347;4705349;0;Чемпион по вальяжной ходьбе? 🤔
16;4705347;4705354;1;Это частная компания, это их право
17;4705347;4705355;0;😆
18;4705347;4705357;1;был бы какой нобелевский лауреат, а так все нормально...
19;4705347;4705360;0;Это вам не рашка
20;4705347;4705361;1;Как все спортсмены, немного обделен.
21;4705347;4705363;19;
22;4705347;4705364;0;То есть с этой толпе были не только безработные на пособии и маргиналов? Добросовестные налогоплательщики как туда затесались?)
23;4705347;4705374;4;Американские либералы устраивают 1937 год 😂😂😂 Русские либералы, где ваша хваленая свобода? 😂😂😂
24;4705347;4705379;0;"Кристофер Стэнтон семьянин  участник штурма Капитолия 🇺🇸
Покончил жизнь самоубийством 💀
ВЫСТРЕЛОМ В ГРУДЬ
В грудь Карл⚠"
25;4705347;4705383;0;"Консервы прям из кожи вон лезут, защищая тромба, но из раза в раз им кто-то срёт в штаны. Перзидента блочат за поощрение террористов, готовых вторгнуться в важнейшее госздание страны, — это плохо, рыночек прогнулся; берлинского пациента и его фанатов гнобят на всех уровнях чуть менее, чем везде, — это хорошо, рыночек выразил свою волю. Подмойтесь, мани, а потом придумайте что-то убедительнее"
26;4705347;4705385;0;"не ну это другое,частная компания сама решает кого увольнять или нет
кремлеботам не понять, +15р"
27;4705347;4705433;0;Швабода в Пиндосии опять зашкалила
28;4705290;4705292;0;Все пойдут
29;4705290;4705301;0;Ни кто не будет воевать с обезьяной с атомной гранатой в руке. Её просто , запрут обратно в её клетку
30;4705290;4705308;1;Роботы слишком дорого стоят,чтобы бросать их в бой.Пушечное мясо всяко дешевле, история это не раз доказала
31;4705290;4705316;1;За 70 тыщ в месяц пойдут все, жрать то надо.
32;4705290;4705321;0;На воинский учёт возьмусь, а воевать - шиш с маслом!
33;4705290;4705324;1;Терминаторы уже давно в Думе, и воюют с населением.
34;4705290;4705351;0;Чем бы ни воевали в третьей мировой, в четвёртой останутся только палки и камни
35;4705217;4705219;2;"лучше бы айфон был по цене андройда!
""не будет наушников и зарядок. Компания объяснила такое решение заботой об окружающей среде"" - чиво это блеатъ за xyйня?🤔"
36;4705217;4705220;25;Не экономия на клиенте, а забота об экологии. Смотри не перепутай.
37;4705217;4705221;11;Какие же лицемеры
38;4705217;4705223;0;No text
39;4705217;4705224;40;Заголовок конечно у вас не очень. Как минимум из-за того что Android - это операционная система, а iPhone - устройство. Так и уже несколько лет флагманы на Android стоят примерно столько же как и iPhone.
40;4705217;4705225;11;Жду когда и телефона в комплекте не будет
41;4705217;4705228;5;Надо вообще запретить ввозить в РФ смартфоны стоимостью свыше 15-20 тысяч, только подбивают людей брать кредиты на эти безделушки по бешеным ценам.Кто в стране может позволить себе купить телефон стоимостью в 75-120 тысяч?Да никто
