id;post_id;post_likes_count;post_comments_count;post_published;post_text
1;4705396;70;36;2021-01-14 18:50:59.000000;Международным стандартом для перевозки медицинских препаратов уже более 50 лет является диапазон +2 — +8 градусов. Под него и подстроена мировая и российская логистика
2;4705347;30;33;2021-01-14 18:20:59.000000;Также после появления информации об участии Келлера в штурме Капитолия риэлторская компания в которой он работал последние три года, уволила его
3;4705290;33;20;2021-01-14 17:50:58.000000;Какими будут войны в середине XXI века? И кто пойдет воевать — все еще люди или уже роботы? Обсуждаем в первом выпуске «Так и будет» в этом году. Вместе с ведущим Даниилом Дугаевым будущее войн пытаются предсказать военный журналист Михаил Котов, а также исследователь Арсений Куманьков
4;4705217;64;81;2021-01-14 17:20:58.000000;Андроид по цене айфона
5;4705174;40;15;2021-01-14 16:50:58.000000;Подробности обещает рассказать на следующей неделе
6;4705132;92;45;2021-01-14 16:20:58.000000;Премьер-министр и глава католической церкви Ирландии извинились перед теми, кто столкнулся с жестоким обращением в приютах для матерей-одиночек. Такие учреждения существовали в стране на протяжении многих десятилетий. В них вынуждены были селиться женщины, которые забеременели вне брака. В приютах матери подвергались унижениям, а за благополучием их детей никто не следил. За 76 лет в подобных учреждениях умерли девять тысяч младенцев — 15% от всех детей, которые там родились. В некоторые годы уровень младенческой смертности достигал 40%.
7;4705078;79;44;2021-01-14 15:50:59.000000;Чайку пристегнули наручниками и стали допрашивать о бывшем муже. В какой-то момент похитители потребовали, чтобы она открыла рот, влили ей неизвестную жидкость «и положили под язык таблетку в форме маленькой бумажки». После этого у нее начались галлюцинации
8;4705056;217;12;2021-01-14 15:20:58.000000;Когда даже простая поездка на машине может превратиться в кино
9;4704966;42;22;2021-01-14 14:50:58.000000;"Небольшой прогноз. Скоро в новостях вы прочтете об очередном кризисе на Корейском полуострове. 

Возможно, даже будут заголовки о том, что из-за КНДР мир стоит на грани ядерной войны. В действительности это будет прелюдией к переговорам Ким Чен Ына и Джозефа Байдена. 

Северная Корея часто использует такой прием: нагнетает атмосферу перед важными переговорами.
В подкасте «Что случилось» востоковед Андрей Ланьков объясняет, чего на этот раз хочет КНДР. И еще — как обстоят дела у Ким Чен Ына и его сестры? А также — что случилось с осторожной либерализацией КНДР, которая вроде бы началась несколько лет назад?"
10;4704871;163;54;2021-01-14 14:20:58.000000;🐗🐗🐗
11;4704816;138;49;2021-01-14 13:50:58.000000;«Возможно, мы наблюдаем крупнейшую цифровую миграцию в истории человечества», — отметил Дуров.
12;4704741;49;53;2021-01-14 13:20:58.000000;"Сколько россиян уже получили прививку от коронавируса?

Полтора миллиона — как объявил РФПИ, или 800 тысяч — как сказал министр здравоохранения? Или всего 300 тысяч, как посчитал независимый аналитик?

«Медуза» выяснила, что достоверной статистики, кажется, нет и у самого Минздрава — и не только из-за бюрократической неразберихи, но и из-за нового закона о защите данных, подписанного президентом под Новый год."
13;4704599;130;150;2021-01-14 12:50:58.000000;Навальному хотят заменить условный срок по делу «Ив Роше» на реальный при том, что он закончился в декабре прошлого года
14;4704476;35;71;2021-01-14 12:20:58.000000;"Сегодня в прокат выходит сиквел «Чудо-женщины» — идеальный вариант для тех, кто соскучился по масштабным блокбастерам на широком экране.

Антон Долин рассказывает, что есть в фильме, кроме зрелища:"
15;4704402;110;50;2021-01-14 11:50:58.000000;Сделаем «Один дома» великим снова
16;4704318;264;171;2021-01-14 11:20:58.000000;"Глава предвыборного штаба Любови Соболь Ольга Ключникова рассказала, что после административного ареста обнаружила в своем айфоне прослушивающее устройство.

Телефон был вскрыт довольно неаккуратно: по краям экрана остался заводской клей. Также при вскрытии силовики перебили шлейф разговорного динамика и Face ID и перепаяли аккумуляторы — вероятно, для того, чтобы запитать «жучок».

Теперь Ключникова собирается подать заявление в СК с требованием возбудить уголовное дело по статьям о нарушении неприкосновенности частной жизни и о нарушении тайны переписки и телефонных переговоров. "
17;4704248;96;42;2021-01-14 10:50:58.000000;Осталось неясным, профессионально ли писать название города Охуэлос-де-Халиско
18;4704203;31;7;2021-01-14 10:20:58.000000;"Съездить к родственникам, прогуляться по району в обеденный перерыв или добежать до ближайшего магазина — в ежедневных перемещениях по городу, кажется, нет ничего сложного.

Но если речь идет о человеке с инвалидностью, например, о человеке, который плохо видит или которому тяжело ходить, даже посещение поликлиники может стать тяжелым испытанием. Помочь тут может социальное такси.

Все подробности о его работе — в этом партнерском материале."
19;4704104;193;29;2021-01-14 09:50:58.000000;Как говорится в официальном ответе, «конкретных сведений об обстоятельствах, указывающих на признаки преступления в действиях сотрудников ФСБ России, в заявлениях не содержится». 
20;4704077;54;81;2021-01-14 09:45:18.000000;"Вечером 13 января в Брюсселе произошли уличные беспорядки из-за смерти 23-летнего мигранта из Гвинеи по имени Ибрагима Барри, который умер спустя час после задержания.
В один момент протестующие атаковали машину короля Бельгии Филиппа, проезжавшую мимо"
21;4703988;171;28;2021-01-14 09:15:18.000000;"Суд в Челябинске оправдал участников митинга «Он нам не царь» Оксану Еремину и Юрия Варушина с правом на реабилитацию. Обвинение просило для них а по три с половиной года лишения свободы.

По версии следствия, Еремина и Варушин участвовали в прорыве полицейского оцепления во время акции"
22;4703869;73;109;2021-01-14 08:45:18.000000;Глава Twitter написал тред из 13 твитов, в котором высказался о блокировке аккаунта Дональда Трампа. Джек Дорси уверен в правильности решения (которое было принято «в экстраординарных обстоятельствах») — но признает, что оно создало опасный прецедент.  
23;4703782;82;28;2021-01-14 08:15:18.000000;"Директор программы Всемирной организации здравоохранения по чрезвычайным ситуациям Майкл Райан заявил, что второй год пандемии может оказаться более тяжелым, чем первый.

По словам Райана, сейчас из-за холода в Северном полушарии люди чаще заходят внутрь помещений, что усиливает социальное смешение — и, как следствие, ускоряет распространение вируса."
24;4703718;69;34;2021-01-14 07:43:08.000000;Как минимум 112 человек задержаны за участие в уличных беспорядках в центре Брюсселя. Причиной протестов стала смерть 23-летнего выходца из Гвинеи по имени Ибрагима, умершего 9 января после задержания в полицейском участке.
25;4703643;78;134;2021-01-14 07:03:08.000000;Дональд Трамп записал видеообращение после объявленного импичмента, в котором решительно осудил штурм Капитолия
26;4703597;56;13;2021-01-14 06:23:08.000000;Ограничения, действующие в Москве из-за пандемии коронавируса, продлеваются на одну неделю. При этом с 18 января московские школы возвращаются к работе в обычном режиме для учащихся с 1 по 11 класс. Об этом объявил мэр Москвы Сергей Собянин.
27;4703551;336;21;2021-01-14 05:43:08.000000;Кажется, новогодний выпуск «Вечернего Урганта» понравился вообще всем — не только в России, но и в Италии. Мы обсудили его успех с ведущим шоу Иваном Ургантом. Он рассказал, как всего за три недели у команды получилось сделать итальянский концерт с главными российскими поп-звездами, как на идею отреагировал Константин Эрнст и почему для самого Урганта самым смешным моментом стала реплика Александра Гудкова «Хэппи Нью Йеаре».
28;4703522;293;18;2021-01-14 05:03:08.000000;14 января 2021 года исполняется 130 лет со дня рождения Осипа Мандельштама. К юбилею поэта выходит сборник «Сохрани мою речь навсегда», на котором песни на его стихи исполняют Илья Лагутенко, Леонид Агутин, Оксимирон, Noize MC, Shortparis, Tequilajazzz, IOWA, «Сансара», Алина Паш, Mgzavrebi, «Порнофильмы», Алина Орлова, Zoloto и другие. «Медуза» представляет премьеру трибьюта с комментариями авторов.
29;4703420;50;24;2021-01-14 02:13:53.000000;Цифровые двойники — непростое украшенье
30;4703376;49;23;2021-01-14 01:13:53.000000;По предварительным данным, погибшие — одна семья, в том числе двое детей
31;4703345;174;26;2021-01-14 00:14:53.000000;Плохие новости для тех, кто боится змей
32;4703243;211;188;2021-01-13 23:13:53.000000;Причиной стало дело «Ив Роше», по которому Навальный получил условный срок. ФСИН в постановлении о розыске говорит, что Навальный «уклоняется от контроля» (как условно осужденный) по этому делу
33;4703157;122;48;2021-01-13 22:13:53.000000;Дональд Трамп побил два рекорда: теперь он единственный президент США, который подвергался импичменту дважды за один срок, и получил при этом больше голосов за импичмент от членов собственной партии, чем Билл Клинтон в 1998 году. Главное, что нужно знать об этом историческом голосовании в Палате представителей:
34;4703067;199;70;2021-01-13 21:42:36.000000;«За» проголосовали даже десять республиканцев
35;4702984;308;61;2021-01-13 20:59:05.000000;Инвесторам не понравилась затея с баном
36;4702873;195;11;2021-01-13 19:36:34.000000;Акцио, пиво 🐕
37;4702733;239;77;2021-01-13 18:56:34.000000;Предельную стоимость подсолнечного масла установили в середине декабря 2020 года
38;4702625;121;38;2021-01-13 18:16:34.000000;Солдат спит — служба идет
39;4702462;152;135;2021-01-13 17:36:34.000000;В США казнили 52-летнюю Лизу Монтгомери. Это первая казнь женщины федеральным правительством за почти 70 лет. Монтгомери убила свою знакомую, которая была на восьмом месяце беременности, вырезала ребенка у нее из живота и выдала за своего. Адвокаты Монтгомери утверждали, что она с самого детства подвергалась жестокому насилию, из-за которого у нее развилось психическое расстройство.
40;4702347;67;20;2021-01-13 16:56:34.000000;Марина Чайка подала заявление в СК, уточнила в разговоре с «Медузой» адвокат Екатерина Гордон. Издание Baza 13 января сообщало, что «люди в масках, которые представились сотрудниками ФСБ или ФСО», подошли к Марине Чайке на улице, отвели ее в подвал, где расспрашивали о бизнесе бывшего мужа и «поили странной жидкостью»
41;4702220;242;37;2021-01-13 16:16:34.000000;Среди подсудимых — «Дядя», «Волк», «Толстяк», «Милашка», «Блондинка», «Маленький козленок», «Давитель» и другие
42;4702137;149;209;2021-01-13 15:36:34.000000;Их задержали днем 13 января в аэропорту южносуданского города Капоэта из-за найденного в багаже пульта от дрона
43;4702121;46;122;2021-01-13 15:29:49.000000;"За последние несколько месяцев биткоин (как и другие криптовалюты) сильно вырос в цене. По сравнению с началом 2020 года — в разы. И это с учетом последнего снижения курса (на днях биткоин подешевел с рекордных 40 тысяч долларов до 34,5 тысяч)!

В подкасте «Что случилось» — руководитель проекта «РБК-Крипто» Николай Загвоздкин. Он объясняет причины бурного (хоть и с коррекцией) роста. И отвечает на вопрос: этот рост продолжится или пузырь скоро лопнет?"
44;4702058;54;54;2021-01-13 14:59:49.000000;Если Трампа отстранят от должности, это будет первым таким случаем в истории США
45;4702000;69;49;2021-01-13 14:32:12.000000;Предварительно, голосование по вопросу отстранения Трампа начнется в 23:00 мск.
46;4701942;405;21;2021-01-13 14:02:12.000000;Понимаем
47;4701894;61;63;2021-01-13 13:45:26.000000;Отметим старый Новый год по-новому
48;4701864;57;28;2021-01-13 13:32:12.000000;В октябре прошлого года были опубликованы промежуточные данные исследования ВОЗ: лекарство не показало превосходства над плацебо ни по смертности, ни по скорости излечения, ни по длительности госпитализации.
49;4701746;457;59;2021-01-13 13:02:12.000000;Мы писали этот текст сквозь слезы
50;4701596;118;171;2021-01-13 12:32:12.000000;❗️
51;4701516;47;31;2021-01-13 12:12:02.000000;"Старший научный сотрудник американского института Катона Андрей Илларионов написал в своем блоге, что протесты на Капитолийском холме 6 января были мирными. Штурм Капитолия, по мнению Илларионова, был ловушкой, которую полиция устроила после провокации со стороны представителей Демократической партии США и активистов Black Lives Matter.

Институт, который официально назвал штурм Капитолия «прямой атакой на Конституцию США, верховенство права и нашу конституционную республику», начал проверку в отношении Илларионова."
52;4701412;614;127;2021-01-13 11:42:02.000000;Информационная атака против Путина, спланированная Навальным и шаманом
53;4701349;28;7;2021-01-13 11:12:02.000000;"Соскучились по праздникам? Сегодня как раз есть повод съесть оливье и селедку под шубой (хотя разве для этого нужен повод?) — спасибо старому Новому году. А саундтрек для вечера мы уже подготовили! 

Это партнерский материал "
54;4701282;159;56;2021-01-13 10:57:00.000000;Также задержаны жена Ильи Варламова Любовь и директор Европейской гимназии Иван Боганцев. Россиян сняли с рейса и отвели в полицию из-за пульта от дрона, который нашли в багаже Варламова
